             q [rad],        qvel [rad/s],            tau [Nm],              i [mA],             dt [ms]
             0.29711,              0.8976,             0.13783,                -810,              12.019
             0.30518,              0.8976,             0.13891,                -826,               8.506
             0.31506,              0.8976,             0.14389,                -890,              11.796
             0.32493,              0.8976,             0.14905,                -874,               7.539
             0.32583,              0.8976,             0.14905,                -874,              15.387
             0.34199,              0.8976,             0.14852,                -890,               5.395
             0.35096,              0.8976,             0.14852,                -971,              12.088
             0.35994,              0.8976,              0.1575,                -955,               8.089
             0.36891,              0.8976,             0.16242,               -1019,               8.798
             0.37609,              0.8976,             0.16025,               -1019,              10.485
             0.38507,              0.8976,             0.16759,               -1051,              11.265
             0.38776,              0.8976,             0.17091,               -1051,              10.162
             0.40123,              0.8976,             0.17419,               -1116,               8.832
              0.4111,              0.8976,              0.1794,               -1116,               11.52
             0.42008,              0.8976,             0.18791,               -1116,              10.214
             0.42277,                   0,             0.18791,               -1309,               7.226
             0.42905,                   0,             0.18968,               -1180,              10.356
             0.43803,              0.8976,             0.18804,               -1229,                9.71
               0.447,                   0,             0.18804,               -1068,               10.24
             0.45598,              0.8976,             0.17935,               -1116,               9.764
             0.47303,              0.8976,             0.19502,               -1245,               18.94
             0.47932,              0.8976,             0.19502,               -1245,               0.882
             0.48829,              0.8976,             0.18826,               -1341,              12.798
             0.49996,              0.8976,             0.20802,               -1374,               7.899
             0.50894,              0.8976,               0.212,               -1309,              10.025
             0.51791,              0.8976,             0.21347,               -1358,               9.975
             0.52599,              0.8976,             0.22063,               -1390,               9.638
             0.52689,              0.8976,              0.2284,               -1438,              10.268
             0.54305,              0.8976,             0.23492,               -1503,                9.95
             0.55202,              0.8976,             0.24256,               -1503,               9.858
              0.5619,              1.7952,             0.23833,               -1438,              11.316
             0.56459,              1.7952,             0.24101,               -1503,               8.474
             0.57267,              0.8976,             0.24367,               -1503,              10.104
             0.59062,              0.8976,             0.25175,               -1615,               9.957
              0.5987,              0.8976,             0.24967,               -1696,              10.134
             0.60767,              0.8976,             0.24827,               -1599,               9.822
             0.61665,              0.8976,               0.256,               -1664,              10.295
             0.62473,              0.8976,             0.26216,               -1664,               9.781
              0.6346,              0.8976,              0.2682,               -1648,               10.54
             0.64358,              0.8976,              0.2681,               -1712,              12.034
             0.65345,              0.8976,             0.27029,               -1728,                8.91
             0.66153,              0.8976,             0.27382,               -1744,              11.052
             0.66961,              0.8976,             0.27354,               -1728,              10.099
             0.67589,              0.8976,             0.27416,               -1793,               8.401
             0.67769,              0.8976,             0.27126,               -1889,               9.106
             0.68756,              0.8976,               0.273,               -1841,              16.765
             0.69295,                   0,             0.27427,               -1841,               5.985
             0.69474,                   0,             0.27427,               -1841,                9.75
             0.70192,              0.8976,             0.28435,               -1889,               7.656
              0.7091,              0.8976,             0.28025,               -1793,               9.592
             0.71359,              0.8976,             0.28774,               -1793,               9.969
             0.72795,              0.8976,             0.29307,               -1970,              10.542
             0.72885,              0.8976,              0.2977,               -1986,               9.619
             0.73513,              0.8976,             0.30549,               -1986,               9.899
              0.7459,              0.8976,             0.30549,               -1970,              10.664
             0.75398,              0.8976,               0.311,               -1986,              11.746
             0.75937,                   0,             0.31455,               -2034,              10.535
             0.76386,              0.8976,             0.31455,               -2083,               7.127
             0.76565,              0.8976,             0.31426,               -2067,              11.489
             0.77194,              0.8976,             0.29907,               -2034,              10.943
             0.78001,              0.8976,             0.31075,               -2034,               8.245
             0.78091,                   0,             0.30903,               -2131,              11.431
              0.7845,              0.8976,              0.3085,               -2131,               7.918
              0.7863,                   0,             0.31345,               -2131,              10.353
             0.78809,                   0,             0.29278,               -2034,              10.733
             0.78809,                   0,             0.30429,               -2147,               11.34
             0.78809,                   0,             0.26539,               -2018,               7.911
             0.78809,                   0,             0.25357,               -2050,               9.934
              0.7854,             -0.8976,             0.24345,               -2050,              10.852
             0.78271,             -0.8976,             0.23794,               -2067,              11.356
             0.78181,             -0.8976,             0.22252,               -2002,               7.597
             0.77463,                   0,              0.2181,               -1889,               9.855
             0.77463,             -0.8976,              0.2085,               -1889,              10.059
             0.76924,             -0.8976,             0.21134,               -1970,               9.867
             0.75668,             -0.8976,             0.21576,               -2050,              11.891
             0.75398,                   0,             0.20649,               -1922,               8.213
              0.7477,             -0.8976,             0.20512,               -1922,              10.058
             0.72975,             -0.8976,             0.20845,               -1825,               9.976
             0.72167,             -1.7952,             0.20845,               -1954,              10.497
             0.70641,             -1.7952,              0.1981,               -1857,              11.853
             0.69295,             -1.7952,              0.1981,               -1760,              12.399
             0.68487,             -1.7952,             0.18244,               -1648,               5.098
              0.6714,             -1.7952,             0.18244,               -1631,              10.012
             0.65345,             -0.8976,             0.18244,               -1519,               9.898
             0.64627,             -1.7952,             0.18244,               -1567,              10.066
             0.62383,             -1.7952,             0.18244,               -1470,              10.081
             0.62204,             -1.7952,             0.17188,               -1567,               9.907
             0.60767,             -1.7952,             0.14161,               -1406,               10.13
             0.59152,             -1.7952,              0.1428,               -1422,               9.909
             0.57626,             -1.7952,             0.13993,               -1406,              10.017
             0.55831,             -1.7952,             0.13079,               -1341,              10.136
             0.54035,             -1.7952,             0.13291,               -1341,               9.935
              0.5251,             -1.7952,             0.13007,               -1277,              10.195
             0.50894,             -0.8976,             0.13007,               -1229,              12.546
             0.49099,             -0.8976,             0.12361,               -1100,               8.107
             0.47932,             -1.7952,             0.12361,               -1148,               8.939
             0.46496,             -0.8976,             0.12361,               -1164,              10.155
             0.45239,             -0.8976,             0.12361,               -1148,               9.967
             0.43623,             -1.7952,             0.12361,               -1003,               9.946
             0.42456,             -1.7952,             0.11786,               -1068,              10.078
             0.39764,             -0.8976,             0.11786,               -1019,              10.392
             0.38327,             -1.7952,            0.084631,                -955,               9.743
             0.38148,             -1.7952,            0.084631,                -890,               9.811
             0.36712,             -1.7952,            0.087709,                -922,               9.964
             0.34647,             -0.8976,            0.071237,                -777,              10.537
             0.34468,             -0.8976,            0.069199,                -826,               9.526
             0.32852,                   0,            0.067004,                -697,              10.244
             0.32762,                   0,            0.067276,                -794,                9.85
             0.31147,             -0.8976,            0.065899,                -761,              10.597
             0.30249,             -0.8976,            0.072255,                -906,               9.891
             0.29262,             -0.8976,            0.072337,                -858,               12.21
             0.28274,             -0.8976,             0.05524,                -665,                8.28
             0.27107,             -0.8976,            0.054084,                -632,              11.563
             0.26748,             -0.8976,            0.054607,                -632,               7.397
             0.25941,             -0.8976,            0.054607,                -600,                10.1
             0.23786,             -0.8976,            0.041133,                -616,              10.445
             0.22979,             -0.8976,            0.041133,                -632,              10.189
              0.2244,             -0.8976,            0.038929,                -552,               9.254
             0.21363,             -1.7952,            0.036745,                -471,              10.719
             0.19298,             -1.7952,            0.032193,                -504,              12.219
             0.18131,             -0.8976,            0.030453,                -471,               7.359
             0.17683,             -0.8976,            0.030453,                -310,              10.132
             0.16157,             -0.8976,            0.012359,                -262,               9.795
             0.15169,             -0.8976,            0.017738,                -342,               9.927
             0.14092,             -0.8976,            0.010559,                -310,              10.405
             0.13105,             -1.7952,           0.0044309,                -342,               9.637
             0.12028,             -0.8976,           0.0021566,                -326,              10.085
             0.10951,             -0.8976,          -0.0049414,                -262,               9.902
            0.099633,             -0.8976,           -0.010929,                -133,              10.486
             0.08976,             -0.8976,          -0.0049955,                -214,               9.866
            0.079886,             -0.8976,          -0.0070474,                -197,              10.088
             0.07091,             -0.8976,          -0.0073388,                -165,                 9.9
            0.062832,             -0.8976,           -0.011709,                -117,               11.71
            0.056549,             -0.8976,           -0.014107,                 -20,               8.318
            0.054754,             -0.8976,            -0.01709,                 -85,               10.02
             0.04847,             -0.8976,           -0.020378,                -117,               9.474
            0.042187,             -0.8976,           -0.017042,                -101,              10.154
            0.038597,                   0,           -0.017493,                 -20,               9.829
            0.035904,                   0,           -0.035342,                  12,              10.234
            0.034109,             -0.8976,           -0.018143,                  12,               9.761
            0.031416,                   0,          -0.0091347,                 -68,              10.552
            0.029621,                   0,           -0.019931,                 -52,               9.787
            0.029621,                   0,           -0.017739,                  28,              12.236
            0.029621,                   0,           -0.012439,                 -85,               7.981
            0.029621,                   0,          -0.0021696,                 -85,              10.605
            0.029621,                   0,          -0.0047946,                 -85,              10.445
            0.029621,                   0,          -0.0085811,                 -36,               8.906
            0.029621,                   0,          -0.0087035,                 -52,               9.817
            0.029621,                   0,          -0.0043765,                 -52,              12.685
            0.029621,                   0,          -0.0067229,                 -52,               7.436
            0.029621,                   0,          -0.0053236,                 -52,              10.423
            0.029621,                   0,          -0.0074535,                 -36,               10.54
            0.029621,                   0,          -0.0020282,                 -52,              10.696
            0.029621,                   0,          -0.0038646,                 -52,               9.985
            0.029621,                   0,          -0.0065556,                 -85,              10.021
            0.029621,                   0,           -0.013148,                 -52,               9.877
            0.029621,                   0,           -0.014001,                 -68,               9.182
            0.029621,                   0,           -0.011856,                 -52,               9.694
            0.029621,                   0,            -0.01353,                 -52,               9.953
            0.029621,                   0,             -0.0185,                 -52,                9.96
            0.029621,                   0,           -0.023619,                 -85,              10.091
            0.029621,                   0,            -0.02338,                 -36,              10.762
            0.026928,                   0,            -0.02635,                -117,               9.743
            0.025133,             -0.8976,           -0.028932,                -117,               9.755
            0.025133,                   0,           -0.029055,                 -36,              10.264
            0.021542,                   0,           -0.033063,                 -20,               8.656
            0.017952,             -0.8976,           -0.034371,                  60,              10.071
            0.008976,                   0,           -0.032578,                -117,               9.788
           0.0035904,                   0,           -0.032858,                -133,              10.034
           0.0026928,             -0.8976,           -0.093337,                  60,              10.053
           -0.013464,             -0.8976,           -0.034989,                 -85,              10.193
           -0.015259,             -0.8976,           -0.038304,                  28,               9.797
           -0.034109,             -0.8976,           -0.062136,                 109,              10.207
           -0.045778,             -1.7952,           -0.055147,                 173,               9.713
           -0.047573,             -0.8976,           -0.059447,                 173,               10.11
           -0.068218,             -1.7952,           -0.078543,                 173,               10.11
           -0.078989,             -0.8976,           -0.067892,                 415,              10.001
           -0.090657,             -0.8976,           -0.084394,                 238,               9.914
            -0.10143,             -1.7952,           -0.082792,                 399,               9.952
            -0.10322,             -0.8976,           -0.082642,                 383,              10.001
            -0.12297,             -0.8976,           -0.096283,                 367,              10.129
            -0.12477,             -0.8976,           -0.094091,                 431,               9.838
            -0.13644,             -0.8976,           -0.088316,                 415,               9.999
            -0.15528,             -0.8976,            -0.09371,                 479,              10.092
            -0.16606,             -0.8976,           -0.098085,                 399,              10.141
            -0.17683,             -0.8976,            -0.10055,                 544,               9.924
             -0.1876,             -0.8976,            -0.11066,                 479,               9.998
            -0.18939,             -0.8976,            -0.11193,                 512,               9.836
            -0.20106,             -0.8976,            -0.11699,                 608,              10.016
            -0.21183,             -0.8976,            -0.12388,                 576,               9.983
            -0.23068,             -0.8976,            -0.12817,                 592,              10.182
            -0.23876,             -0.8976,            -0.12817,                 657,               10.79
            -0.25223,             -0.8976,            -0.13776,                 689,              11.898
             -0.2612,             -1.7952,            -0.13776,                 721,               7.633
            -0.27556,             -1.7952,            -0.14711,                 737,               9.733
            -0.27736,             -1.7952,            -0.16345,                 721,               9.865
            -0.29711,             -1.7952,            -0.16345,                 866,              10.703
            -0.31057,             -0.8976,            -0.16949,                 882,               9.865
            -0.32044,             -0.8976,            -0.16673,                 931,               11.76
            -0.33121,             -0.8976,            -0.18244,                 979,               8.388
            -0.34288,             -1.7952,            -0.17905,                 914,              11.862
            -0.34647,             -0.8976,            -0.17905,                 947,               7.525
            -0.36532,             -0.8976,             -0.1869,                 963,              12.199
            -0.37699,             -1.7952,             -0.2004,                1076,               8.735
            -0.38148,             -0.8976,             -0.2004,                1011,               8.972
            -0.40392,             -0.8976,             -0.2004,                1076,               9.975
            -0.41738,             -1.7952,            -0.18839,                1188,              10.382
            -0.42097,             -0.8976,            -0.18839,                1108,               9.465
            -0.43264,             -0.8976,            -0.19929,                1172,              10.064
